id_transacao,data,cliente,categoria,valor,metodo_pagamento,status
1052,2026-02-24 00:20:12.024048,Cliente D,Salários,14619.48,Cheque,Pendente
1053,2025-03-04 07:59:02.284569,Cliente D,Fornecedores,11707.39,Cheque,Pendente
1054,2025-10-08 11:55:40.280561,Cliente D,Vendas,1757.86,Cheque,Pago
1055,2026-01-04 05:23:12.384769,Cliente E,Serviços,8508.36,Numerário,Pago
1056,2025-05-31 01:26:34.388777,Cliente D,Aluguel,14781.24,Cartão,Pago
1057,2026-07-13 16:26:56.032064,Cliente F,Vendas,7092.43,Cheque,Cancelado
1058,2025-12-20 05:14:32.945891,Cliente E,Vendas,2772.5,Multibanco,Pago
1059,2025-06-04 16:15:23.446893,Cliente D,Consultoria,7297.44,Multibanco,Pendente
1060,2025-01-24 02:04:05.290581,Cliente F,Fornecedores,7711.24,Transferência,Pendente
1061,2026-01-14 14:43:02.765531,Cliente C,Aluguel,11138.22,Cartão,Pago
1062,2025-07-11 14:45:55.911823,Cliente D,Salários,10497.75,Cheque,Pago
1063,2025-11-12 03:01:48.216432,Cliente E,Salários,6068.12,Multibanco,Pago
1064,2026-03-23 17:13:06.372745,Cliente B,Salários,3309.45,Cartão,Pendente
1065,2025-04-12 13:53:59.278557,Cliente D,Impostos,9693.56,Transferência,Pendente
1066,2025-12-30 14:34:23.326653,Cliente B,Impostos,6354.47,Numerário,Pendente
1067,2025-01-16 00:08:39.438877,Cliente F,Serviços,2027.53,Cartão,Pago
1068,2025-10-06 04:31:15.751503,Cliente C,ALUGUEL,13513.56,Cartão,Pago
1069,2025-11-01 17:41:57.835671,Cliente A,Salários,10383.77,Numerário,Cancelado
1070,2026-02-03 05:40:31.262525,Cliente C,Impostos,10263.6,Cartão,Pendente
1071,2025-03-02 00:34:37.755511,Cliente D,Serviços,12347.63,Transferência,Pago
1072,2026-03-21 09:48:41.843687,Cliente B,Fornecedores,7968.44,Transferência,Cancelado
1073,2026-01-27 07:27:17.675350,Cliente B,Serviços,12235.06,Numerário,Pendente
1074,2025-04-16 01:00:36.072144,Cliente E,Impostos,,Cheque,Pago
1075,2026-02-27 11:26:48.817635,Cliente B,Consultoria,1054.27,Multibanco,Pendente
1076,2026-05-27 08:36:33.186372,Cliente E,Consultoria,6108.46,Cheque,Atrasado
1077,2026-06-09 01:20:48.096192,Cliente F,Salários,7487.1,Cartão,Pendente
1078,2026-05-08 21:21:16.953907,Cliente A,Consultoria,10817.03,Multibanco,Pago
1079,2025-10-31 13:59:45.571142,Cliente D,Salários,1643.35,Numerário,Pago
1080,2026-05-12 08:27:53.747494,Cliente E,Salários,,Numerário,Atrasado
1081,2025-02-09 05:54:56.993987,Cliente A,Impostos,3992.07,Multibanco,Pago
1082,2025-08-25 15:11:54.228456,Cliente B,Consultoria,4034.15,Transferência,Pago
1083,2025-04-03 08:16:21.162324,Cliente B,Salários,10996.16,Multibanco,Pago
1084,2026-04-29 15:43:38.837675,Cliente A,Aluguel,3798.42,Cartão,Pago
1085,2025-02-26 13:28:00.961923,Cliente B,Fornecedores,9514.82,Transferência,Pendente
1086,2026-02-19 09:31:22.965931,Cliente F,Serviços,7439.39,Numerário,Atrasado
1087,2026-03-23 17:13:06.372745,Cliente F,Serviços,8620.75,Multibanco,Pago
1088,2025-01-02 03:42:12.264529,Cliente A,Impostos,12579.7,Cheque,Pago
1089,2026-03-26 00:37:30.901803,Cliente E,Consultoria,6095.5,Cheque,Pago
1090,2025-03-03 04:16:50.020040,Cliente E,Consultoria,11575.13,Cartão,Atrasado
1091,2025-05-02 04:51:27.775551,Cliente A,Salários,6359.44,Cheque,Pendente
1092,2025-10-26 23:10:56.513026,Cliente E,Vendas,5340.38,Multibanco,Pago
1093,2025-12-23 16:21:09.739478,Cliente E,Salários,14381.48,Multibanco,Atrasado
1094,2026-07-04 10:49:17.915831,Cliente F,Fornecedores,2806.35,Cheque,Atrasado
1095,2025-08-08 07:38:50.260521,Cliente E,Aluguel,1400.54,Multibanco,Atrasado
1096,2026-04-08 21:03:58.076152,Cliente C,Serviços,11576.24,Cartão,Atrasado
1097,2025-09-08 11:38:21.402805,Cliente D,Salários,1070.33,Transferência,Pago
1098,2025-02-19 15:14:47.374749,Cliente B,Vendas,12564.33,Cartão,Pendente
1099,2025-07-05 20:14:54.589178,Cliente C,Vendas,6586.04,Cartão,Pago
1100,2025-08-21 00:23:05.170340,Cliente E,Salários,13736.93,Multibanco,Atrasado
1101,2026-05-29 16:00:57.715430,Cliente F,Impostos,10836.92,Transferência,Pendente
1102,2026-07-12 12:44:43.767535,Cliente A,Serviços,9175.55,Multibanco,Pendente
1103,2025-11-07 12:12:59.158316,,Impostos,14242.14,Numerário,Pendente
1104,2026-02-09 00:11:32.585170,Cliente F,Aluguel,5979.91,Multibanco,Pago
1105,2025-12-16 18:07:56.152304,,Vendas,14313.6,Multibanco,Pago
1106,2025-11-08 15:55:11.422845,Cliente E,Vendas,2068.27,Multibanco,Cancelado
1107,2026-06-10 05:03:00.360721,Cliente A,Fornecedores,7282.14,Transferência,Atrasado
1108,2026-06-17 03:16:13.947895,Cliente F,Aluguel,4085.17,Multibanco,Pago
1109,2025-09-05 00:31:44.609218,Cliente F,Vendas,8120.65,Transferência,Pago
1110,2025-10-17 17:33:18.396793,Cliente F,Aluguel,2472.11,Cheque,Pago
1111,2025-08-07 03:56:37.995991,Cliente D,Serviços,12630.87,Numerário,Pendente
1112,2025-12-07 12:30:18.036072,Cliente E,Consultoria,12703.8,Transferência,Atrasado
1113,2025-09-02 17:07:20.080160,Cliente D,Vendas,14330.78,Cheque,Pago
1114,2025-08-27 22:36:18.757515,Cliente B,Fornecedores,2362.35,Transferência,Pago
1115,2025-09-30 10:00:14.428857,Cliente B,Serviços,9368.82,Transferência,Atrasado
1116,2026-01-25 00:02:53.146292,Cliente E,Salários,7139.85,Numerário,Pendente
1117,2026-02-27 11:26:48.817635,Cliente D,Aluguel,5198.54,Cartão,Pago
1118,2025-03-02 00:34:37.755511,Cliente A,Salários,5305.53,Cartão,Pago
1119,2025-11-19 01:15:01.803607,Cliente F,Impostos,,Transferência,Pago
1120,2026-04-18 02:41:36.192384,Cliente F,Serviços,10588.64,Multibanco,Pago
1121,2025-09-07 07:56:09.138276,Cliente E,Salários,8994.38,Cheque,Pago
1122,2025-10-17 17:33:18.396793,Cliente B,Vendas,6922.24,Multibanco,Pendente
1123,2025-08-04 20:32:13.466933,Cliente B,Aluguel,1185.2,Multibanco,Atrasado
1124,2026-03-14 11:35:28.256513,Cliente F,Consultoria,1212.59,Transferência,Pendente
1125,2026-07-22 22:04:34.148296,Cliente E,Serviços,84.97,Transferência,Pendente
1126,2025-02-16 04:08:10.581162,Cliente D,Vendas,14517.11,Transferência,Pago
1127,2025-06-30 01:43:53.266533,Cliente B,Fornecedores,128.54,Transferência,Pago
1128,2025-01-17 03:50:51.703406,Cliente D,Impostos,1591.25,Cartão,Pago
1129,2025-12-13 07:01:19.358717,Cliente B,Aluguel,4753.22,Transferência,Pago
1130,2025-03-15 21:01:04.929859,Cliente B,Serviços,12121.08,,Pendente
1131,2026-02-02 01:58:18.997995,Cliente C,Serviços,14433.38,Cartão,Cancelado
1132,2026-01-12 07:18:38.236472,Cliente B,Consultoria,11860.7,Transferência,Pago
1133,2025-01-10 05:37:38.116232,Cliente A,Consultoria,10373.88,Numerário,Pago
1134,2026-01-31 22:16:06.733466,Cliente E,Fornecedores,7843.44,Cheque,Atrasado
1135,2025-05-28 18:02:09.859719,Cliente E,Impostos,1346.24,Multibanco,Pago
1136,2026-07-21 18:22:21.883767,Cliente D,Fornecedores,14374.65,Cartão,Pago
1137,2025-06-05 19:57:35.711422,Cliente B,Vendas,11387.97,Cheque,Pendente
1138,2026-06-28 16:18:16.593186,Cliente A,Vendas,9602.29,Numerário,Pendente
1139,2025-03-13 13:36:40.400801,Cliente D,Fornecedores,11397.59,Multibanco,Pago
1140,2025-06-09 07:04:12.505010,Cliente C,Impostos,10875.34,Multibanco,Pago
1141,2026-07-29 20:17:47.735470,Cliente D,Fornecedores,9576.61,Cartão,Pendente
1142,2025-04-03 08:16:21.162324,Cliente D,Impostos,14709.62,Transferência,Pago
1143,2026-03-28 08:01:55.430861,,Impostos,13555.29,Numerário,Pago
1144,2025-07-06 23:57:06.853707,Cliente C,Salários,9717.64,Cartão,Pendente
1145,2026-04-28 12:01:26.573146,Cliente D,Aluguel,10412.97,,Pago
1146,2025-11-29 10:34:52.184368,Cliente A,Impostos,821.36,Transferência,Pendente
1147,2026-03-13 07:53:15.991983,Cliente A,Consultoria,10065.27,Transferência,Pago
1148,2025-10-28 02:53:08.777555,Cliente E,Impostos,710.27,Cartão,Cancelado
1149,2026-07-19 10:57:57.354709,Cliente C,Impostos,8844.54,Transferência,Pago
1150,2025-09-23 11:47:00.841683,Cliente C,Impostos,14990.33,Cheque,Pago
1151,2025-02-16 04:08:10.581162,Cliente E,Salários,8359.31,Multibanco,Pago
1152,2025-02-01 03:59:31.142284,Cliente D,Salários,7124.49,Cartão,Pago
1153,2025-06-04 16:15:23.446893,Cliente C,VENDAS,4727.18,Numerário,Atrasado
1154,2025-08-19 20:40:52.905811,Cliente A,Salários,1851.81,Cheque,Cancelado
1155,2026-01-13 11:00:50.501002,Cliente A,Consultoria,10978.8,Cartão,Pago
1156,2025-11-05 04:48:34.629258,Cliente B,Consultoria,2929.36,Transferência,Pago
1157,2026-04-27 08:19:14.308617,Cliente C,Salários,1773.47,Transferência,Pendente
1158,2025-02-06 22:30:32.464929,Cliente D,Fornecedores,6355.35,,Atrasado
1159,2025-02-24 06:03:36.432865,Cliente E,Aluguel,11940.36,Transferência,Pago
1160,2026-04-14 15:34:59.398797,Cliente E,Salários,11188.71,Numerário,Pago
1161,2025-03-12 09:54:28.136272,Cliente D,Impostos,870.5,Cheque,Pago
1162,2025-09-06 04:13:56.873747,Cliente F,Serviços,6854.4,Multibanco,Pendente
1163,2025-12-04 01:23:41.242484,Cliente B,Aluguel,7860.4,Numerário,Pago
1164,2025-04-24 02:56:01.923847,Cliente E,Aluguel,9685.97,,Pendente
1165,2025-07-17 09:16:57.234468,Cliente C,Consultoria,9770.0,Multibanco,Pago
1166,2026-02-19 09:31:22.965931,Cliente B,ALUGUEL,5502.22,Multibanco,Pendente
1167,2025-09-03 20:49:32.344689,Cliente C,Salários,8432.12,Transferência,Pago
1168,2026-07-02 03:24:53.386773,Cliente A,Impostos,7241.88,Numerário,Pago
1169,2025-02-09 05:54:56.993987,Cliente B,Impostos,13280.73,Cartão,Pago
1170,2026-06-02 03:07:34.509018,Cliente E,Vendas,7977.46,Multibanco,Pendente
1171,2025-09-18 20:58:11.783567,Cliente B,Impostos,6643.43,Multibanco,Pago
1172,2025-04-26 10:20:26.452905,Cliente B,Impostos,6097.06,Cheque,Pago
1173,2026-05-12 08:27:53.747494,Cliente B,Consultoria,8607.8,Cartão,Pago
1174,2026-06-17 03:16:13.947895,Cliente F,Impostos,12069.46,Cartão,Pago
1175,2025-05-31 01:26:34.388777,Cliente B,Vendas,8099.1,Multibanco,Pendente
1176,2025-10-23 12:04:19.719438,Cliente C,Serviços,9941.74,Transferência,Pendente
1177,2025-01-05 14:48:49.058116,Cliente A,SALÁRIOS,11080.94,Cheque,Atrasado
1178,2025-09-08 11:38:21.402805,Cliente D,Consultoria,7826.51,Cartão,Pago
1179,2025-10-21 04:39:55.190380,Cliente B,Serviços,6430.91,Multibanco,Atrasado
1180,2026-04-04 06:15:09.018036,Cliente E,Consultoria,13156.15,Cartão,Pago
1181,2026-02-18 05:49:10.701402,,Fornecedores,6291.72,Cheque,Pago
1182,2025-11-22 12:21:38.597194,Cliente E,Aluguel,6956.05,Cheque,Pago
1183,2026-03-29 11:44:07.695390,Cliente C,Fornecedores,14855.6,,Pago
1184,2025-08-26 18:54:06.492985,,Impostos,53.55,Multibanco,Pendente
1185,2025-01-17 03:50:51.703406,Cliente D,Serviços,2822.82,Cheque,Pendente
1186,2026-02-03 05:40:31.262525,Cliente A,Impostos,5790.26,Numerário,Pendente
1187,2025-02-17 07:50:22.845691,Cliente E,Aluguel,13992.22,Numerário,Pago
1188,2026-03-14 11:35:28.256513,Cliente E,Consultoria,1096.94,Cartão,Pago
1189,2026-06-15 23:34:01.683366,Cliente A,Aluguel,191.81,Cartão,Pago
1190,2025-07-25 11:12:23.086172,Cliente D,Vendas,837.62,Numerário,Pago
1191,2025-03-13 13:36:40.400801,Cliente B,Aluguel,1373.72,Cartão,Pago
1192,2026-02-10 03:53:44.849699,Cliente E,Vendas,612.07,Cheque,Pago
1193,2025-09-23 11:47:00.841683,Cliente A,Aluguel,7222.73,Transferência,Pago
1194,2025-10-05 00:49:03.486973,Cliente C,Salários,8732.32,Cheque,Pago
1195,2025-02-28 20:52:25.490981,,Vendas,4111.72,Numerário,Pendente
1196,2025-04-20 15:49:25.130260,,Serviços,6004.4,,Cancelado
1197,2026-03-23 17:13:06.372745,Cliente D,Impostos,1420.91,Cheque,Atrasado
1198,2025-09-13 02:27:10.460921,Cliente B,Impostos,5078.74,Cartão,Pendente
1199,2026-07-13 16:26:56.032064,Cliente A,Fornecedores,7861.66,Cartão,Pago
1200,2026-04-14 15:34:59.398797,Cliente F,Impostos,10997.46,Numerário,Pendente
1201,2025-09-23 11:47:00.841683,Cliente E,Consultoria,100.03,Multibanco,Pendente
1202,2025-09-30 10:00:14.428857,Cliente D,Salários,7036.3,Cartão,Pago
1203,2025-06-13 21:53:01.563126,Cliente A,Aluguel,4490.19,Cheque,Pago
1204,2025-07-16 05:34:44.969939,Cliente E,Fornecedores,12799.69,,Atrasado
1205,2025-02-02 07:41:43.406813,Cliente A,Consultoria,10747.52,Cheque,Pago
1206,2025-02-10 09:37:09.258517,Cliente C,Consultoria,8857.17,Numerário,Pago
1207,2025-01-14 20:26:27.174348,Cliente A,Vendas,4195.12,Cartão,Pago
1208,2025-07-03 12:50:30.060120,Cliente F,Impostos,13659.57,Cheque,Pago
1209,2026-01-12 07:18:38.236472,Cliente A,Serviços,724.26,Numerário,Pago
1210,2025-08-03 16:50:01.202404,Cliente A,Serviços,1686.54,Multibanco,Pago
1211,2025-10-07 08:13:28.016032,Cliente F,Fornecedores,5904.87,Cheque,Pago
1212,2025-04-09 02:47:22.484969,Cliente D,Salários,1910.34,Multibanco,Pago
1213,2025-11-23 16:03:50.861723,Cliente A,Serviços,14348.41,Multibanco,Atrasado
1214,2025-03-17 00:43:17.194388,Cliente F,Aluguel,11979.94,Transferência,Pago
1215,2025-07-15 01:52:32.705410,Cliente E,Serviços,3921.79,Cartão,Pago
1216,2025-02-20 18:56:59.639278,Cliente C,Fornecedores,8848.89,Cheque,Pago
1217,2025-03-12 09:54:28.136272,Cliente C,Serviços,14735.84,Multibanco,Atrasado
1218,2026-05-23 21:29:56.392785,Cliente A,Aluguel,13268.77,Transferência,Pago
1219,2025-06-03 12:33:11.182364,Cliente D,Vendas,9031.94,Numerário,Pago
1220,2025-11-23 16:03:50.861723,Cliente D,Salários,,Cheque,Atrasado
1221,2025-02-01 03:59:31.142284,Cliente E,Fornecedores,14838.31,Multibanco,Atrasado
1222,2025-05-04 12:15:52.304609,,Vendas,11163.12,Cartão,Pago
1223,2025-02-19 15:14:47.374749,Cliente C,Vendas,1021.55,Transferência,Atrasado
1224,2026-01-27 07:27:17.675350,Cliente D,Vendas,6053.62,Multibanco,Pago
1225,2025-11-25 23:28:15.390781,Cliente A,Consultoria,12575.49,Cartão,Pago
1226,2026-05-29 16:00:57.715430,Cliente D,Salários,3497.01,Multibanco,Pago
1227,2026-01-16 22:07:27.294589,Cliente F,Impostos,12468.11,Cheque,Pago
1228,2025-05-27 14:19:57.595190,Cliente D,Salários,1849.06,Cheque,Pendente
1229,2026-02-05 13:04:55.791583,Cliente C,Consultoria,,Cheque,Pago
1230,2026-06-29 20:00:28.857715,Cliente B,Impostos,5792.15,Transferência,Pago
1231,2025-09-23 11:47:00.841683,Cliente E,Salários,599.14,Cheque,Pendente
1232,2025-08-07 03:56:37.995991,Cliente E,Vendas,14361.19,Cartão,Pendente
1233,2025-09-16 13:33:47.254509,Cliente C,Fornecedores,12401.78,Multibanco,Pago
1234,2026-03-20 06:06:29.579158,Cliente D,Impostos,12021.51,Numerário,Pendente
1235,2026-03-11 00:28:51.462925,,Aluguel,9465.18,Cartão,Pago
1236,2025-11-22 12:21:38.597194,Cliente D,Aluguel,,Cartão,Pendente
1237,2026-05-29 16:00:57.715430,Cliente C,Serviços,7797.99,Cheque,Pendente
1238,2025-05-19 12:24:31.743486,Cliente E,Impostos,8979.25,Transferência,Cancelado
1239,2025-05-13 17:53:30.420841,Cliente D,Fornecedores,7899.22,Multibanco,Pago
1240,2026-06-15 23:34:01.683366,Cliente E,Consultoria,3940.49,Transferência,Pago
1241,2025-09-25 19:11:25.370741,Cliente A,Vendas,7752.96,Multibanco,Pago
1242,2025-10-25 19:28:44.248496,Cliente E,Serviços,7393.24,Multibanco,Pago
1243,2026-02-18 05:49:10.701402,Cliente E,Aluguel,14945.22,Transferência,Pago
1244,2025-08-16 09:34:16.112224,Cliente B,Consultoria,13466.67,Cartão,Atrasado
1245,2026-06-10 05:03:00.360721,Cliente B,Consultoria,6977.54,Multibanco,Pago
1246,2026-04-19 06:23:48.456913,Cliente F,Vendas,9362.91,Transferência,Pago
1247,2025-06-06 23:39:47.975951,Cliente B,Impostos,11230.68,Multibanco,Pendente
1248,2026-01-01 21:58:47.855711,Cliente E,Aluguel,571.23,Numerário,Pago
1249,2025-07-09 07:21:31.382765,Cliente C,Fornecedores,13429.08,Cartão,Pendente
1250,2025-09-16 13:33:47.254509,Cliente E,Consultoria,12908.9,,Pago
1251,2025-12-20 05:14:32.945891,Cliente C,Vendas,6888.61,Multibanco,Pago
1252,2025-09-26 22:53:37.635270,Cliente C,Fornecedores,5897.99,Numerário,Pago
1253,2025-07-17 09:16:57.234468,Cliente B,Impostos,4130.74,Cheque,Pago
1254,2025-06-24 07:12:51.943887,Cliente D,Aluguel,7176.32,Cheque,Atrasado
1255,2026-06-18 06:58:26.212424,Cliente A,Impostos,713.43,Multibanco,Pago
1256,2025-12-29 10:52:11.062124,,Consultoria,12790.29,Transferência,Pago
1257,2026-03-07 13:22:14.669338,Cliente B,FORNECEDORES,579.56,Multibanco,Pago
1258,2025-07-03 12:50:30.060120,Cliente D,Fornecedores,4969.32,Numerário,Pago
1259,2025-04-20 15:49:25.130260,Cliente A,FORNECEDORES,13977.26,Cheque,Atrasado
1260,2026-06-28 16:18:16.593186,Cliente E,Consultoria,11041.43,Multibanco,Pago
1261,2025-09-25 19:11:25.370741,Cliente F,Consultoria,4256.79,Transferência,Pendente
1262,2025-07-26 14:54:35.350701,Cliente F,Impostos,3827.1,Multibanco,Cancelado
1263,2025-05-10 06:46:53.627254,Cliente E,Serviços,125.98,Cartão,Pago
1264,2026-01-01 21:58:47.855711,Cliente B,Impostos,10450.93,Transferência,Atrasado
1265,2026-07-27 12:53:23.206412,Cliente A,Aluguel,779.31,Numerário,Pago
1266,2026-05-25 01:12:08.657314,Cliente B,Vendas,8012.41,Cheque,Pago
1267,2025-02-28 20:52:25.490981,Cliente C,Fornecedores,14433.72,Multibanco,Pago
1268,2025-11-05 04:48:34.629258,Cliente B,Serviços,1686.56,Transferência,Pendente
1269,2025-12-06 08:48:05.771543,Cliente B,Vendas,13422.47,Cartão,Cancelado
1270,2026-03-21 09:48:41.843687,Cliente E,SERVIÇOS,14872.56,Transferência,Pago
1271,2026-03-22 13:30:54.108216,Cliente E,Salários,969.68,Cartão,Pendente
1272,2025-05-10 06:46:53.627254,Cliente E,Impostos,13249.45,Numerário,Pago
1273,2025-04-26 10:20:26.452905,Cliente F,Consultoria,7765.38,Cheque,Pago
1274,2025-05-10 06:46:53.627254,Cliente C,Fornecedores,13602.38,Numerário,Pago
1275,2026-05-22 17:47:44.128256,Cliente E,Impostos,8591.22,Multibanco,Cancelado
1276,2025-04-03 08:16:21.162324,Cliente A,Vendas,9948.57,,Pendente
1277,2025-08-03 16:50:01.202404,Cliente F,Salários,8179.49,Cartão,Pago
1278,2025-05-10 06:46:53.627254,Cliente D,Salários,12974.17,Cartão,Pago
1279,2025-01-02 03:42:12.264529,Cliente A,Salários,11021.95,Transferência,Pago
1280,2025-05-29 21:44:22.124248,Cliente A,Vendas,7842.84,Transferência,Pago
1281,2025-09-10 19:02:45.931863,Cliente E,Vendas,13029.0,Multibanco,Pago
1282,2025-03-03 04:16:50.020040,Cliente D,Vendas,3717.02,Numerário,Atrasado
1283,2026-01-30 18:33:54.468937,Cliente D,Vendas,2402.24,Cartão,Pago
1284,2026-07-13 16:26:56.032064,Cliente F,Salários,2447.98,Multibanco,Pago
1285,2025-09-15 09:51:34.989979,Cliente D,Salários,5043.43,Numerário,Pago
1286,2025-09-16 13:33:47.254509,Cliente C,Serviços,3618.42,Multibanco,Atrasado
1287,2026-03-20 06:06:29.579158,Cliente E,Impostos,13954.85,Cartão,Pendente
1288,2026-04-10 00:46:10.340681,Cliente D,Fornecedores,1632.22,Transferência,Pago
1289,2025-05-25 06:55:33.066132,Cliente F,Consultoria,10499.91,Transferência,Pendente
1290,2025-05-29 21:44:22.124248,Cliente C,Salários,2878.86,Numerário,Pago
1291,2025-03-02 00:34:37.755511,Cliente B,Consultoria,13230.48,Cheque,Pago
1292,2025-07-17 09:16:57.234468,Cliente B,Impostos,14421.66,Numerário,Pago
1293,2025-09-08 11:38:21.402805,Cliente C,Impostos,7008.78,Cheque,Pago
1294,2025-07-03 12:50:30.060120,Cliente F,Consultoria,13192.12,Multibanco,Pago
1295,2025-08-16 09:34:16.112224,Cliente C,Salários,126.92,Multibanco,Atrasado
1296,2026-04-25 00:54:49.779559,Cliente E,Consultoria,12308.21,Cartão,Atrasado
1297,2025-10-11 23:02:17.074148,Cliente E,Serviços,3467.95,Cheque,Pendente
1298,2026-01-08 20:12:01.442885,Cliente B,ALUGUEL,13635.08,Cartão,Pago
1299,2026-05-21 14:05:31.863727,Cliente D,Salários,,Transferência,Pago
1300,2025-08-22 04:05:17.434869,Cliente F,Salários,8364.92,Cheque,Pendente
1301,2025-07-31 05:43:24.408817,Cliente B,FORNECEDORES,11361.71,Numerário,Pago
1302,2025-05-21 19:48:56.272545,Cliente D,Vendas,3917.39,Transferência,Pago
1303,2026-04-07 17:21:45.811623,Cliente D,Aluguel,2937.34,Transferência,Pago
1304,2025-10-21 04:39:55.190380,Cliente E,Impostos,1307.27,Numerário,Atrasado
1305,2025-12-05 05:05:53.507014,Cliente A,Salários,4930.18,Transferência,Pago
1306,2025-11-19 01:15:01.803607,Cliente A,Consultoria,8419.67,Cheque,Pago
1307,2026-01-09 23:54:13.707414,Cliente C,Aluguel,1781.87,Cartão,Pendente
1308,2026-03-05 05:57:50.140280,Cliente E,Fornecedores,5681.6,Transferência,Pago
1309,2025-04-22 23:13:49.659318,Cliente D,Impostos,185.63,Cheque,Pago
1310,2025-08-16 09:34:16.112224,Cliente F,Vendas,12289.26,Multibanco,Pago
1311,2026-06-26 08:53:52.064128,Cliente A,Vendas,1970.31,Cheque,Pago
